성별,연령대,직업군,직업군상세,거주지 시군구 코드,근무지 시군구 코드,거주지행정동,근무지행정동,추정가구원수,추정월소득,증빙연소득,추정 연소득,2년전 추정 연소득 금액,2년내 이직후 소득 증감액,총자산평가금액(주택),순자산평가금액(주택),자가거주여부,현 거주지의 아파트여부,현 거주지의 매매가(국토부 실거래가) 또는 공시가격,차량보유(국산/수입),추정 LTV,추정DTI,신용평점,총대출건수,신용대출-총대출약정액,신용대출-총대출잔액,주택담보대출-총대출약정액,주택담보대출-총대출잔액,정책자금대출-총대출약정액,정책자금대출-총대출잔액,총 대출 상환금액 (최근 12개월),최근 12개월 신용카드소비금액,최근 12개월 체크카드소비금액,최근 12개월 일시불이용금액,최근 12개월 할부이용금액,최근 12개월 현금서비스이용금액,대출연체건수,카드연체건수,연체일수,대출연체금액,카드연체금액,Thin Filer 여부,"파산, 개인회생 신청 여부",2년내 현거주지평균실거래가,2년내 현거주지평균전세거래가,2년내 직장명이력건수
1,45,910,3,26500,26410,2650003,2641002,1,2268.0,19519.0,25499.0,29188.0,0.0,161353.0,85292.0,0,1,133329.0,0,0.0,0.0,750.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8474.0,3794.0,3685.0,970.0,47.0,0,0,0,0.0,0.0,0,0,130038.0,85985.0,0
1,50,220,5,26410,26410,2641003,2641003,4,2498.0,0.0,26404.0,20678.0,0.0,144895.0,106542.0,0,0,129757.0,2,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3811.0,3298.0,1580.0,872.0,1898.0,0,0,0,0.0,0.0,1,0,132641.0,71596.0,0
2,30,910,4,26410,26320,2641003,2632002,1,3189.0,0.0,34622.0,30514.0,1823.0,327756.0,141204.0,0,0,238530.0,0,0.0,0.0,777.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9949.0,2144.0,4608.0,2809.0,615.0,0,0,0,0.0,0.0,0,0,266122.0,196967.0,1
1,40,910,5,26260,26260,2626003,2626002,3,3543.0,0.0,42935.0,36492.0,4327.0,185642.0,112773.0,0,1,170837.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13652.0,3162.0,8311.0,3300.0,2167.0,0,0,0,0.0,0.0,1,0,149315.0,102442.0,1
2,35,910,5,26350,26230,2635001,2623001,1,4556.0,38611.0,52236.0,47566.0,0.0,87173.0,61798.0,1,0,88496.0,0,0.0,0.0,694.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19997.0,2890.0,6070.0,4723.0,285.0,0,0,0,0.0,0.0,0,0,101044.0,59960.0,0
1,40,910,1,26440,26350,2644001,2635001,2,2497.0,20457.0,30987.0,30498.0,2404.0,129553.0,103665.0,0,0,134770.0,1,0.0,3.4,0.0,2,1835.0,1050.0,0.0,0.0,0.0,0.0,151.0,9212.0,2245.0,2859.0,1823.0,946.0,0,0,0,0.0,0.0,1,0,145611.0,74997.0,1
2,25,910,4,26260,26440,2626002,2644001,3,2530.0,22719.0,26989.0,27315.0,0.0,230411.0,181589.0,0,1,301983.0,1,0.0,0.0,471.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5943.0,821.0,1792.0,1213.0,95.0,0,0,0,0.0,0.0,0,0,298152.0,173501.0,0
2,40,110,4,26320,26260,2632001,2626002,3,3183.0,37479.0,37343.0,32561.0,4940.0,55827.0,26881.0,1,0,86688.0,0,0.0,8.4,470.0,1,6552.0,3137.0,0.0,0.0,0.0,0.0,570.0,16750.0,4801.0,9309.0,2999.0,2981.0,0,0,0,0.0,0.0,0,0,89601.0,59393.0,1
2,60,910,5,26320,26230,2632001,2623001,4,2357.0,26537.0,28143.0,23455.0,0.0,330561.0,145891.0,1,1,477517.0,1,0.0,0.0,463.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5371.0,2511.0,2399.0,716.0,1956.0,0,0,0,0.0,0.0,0,0,543841.0,394101.0,0
1,25,910,2,26470,26440,2647001,2644002,4,2708.0,0.0,31798.0,31181.0,-5502.0,62020.0,37646.0,0,1,98414.0,1,0.0,0.0,418.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13915.0,3137.0,6796.0,2210.0,2167.0,0,0,0,0.0,0.0,0,0,89570.0,61527.0,1
2,70,910,5,26230,26350,2623002,2635002,3,2530.0,24653.0,29246.0,21811.0,0.0,169425.0,90209.0,0,0,223432.0,1,0.0,0.0,513.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5067.0,1333.0,2465.0,1588.0,483.0,0,0,0,0.0,0.0,0,0,253045.0,175244.0,0
1,30,420,3,26230,26320,2623002,2632002,2,1096.0,8903.0,12776.0,12771.0,0.0,99107.0,56306.0,0,0,116240.0,0,0.0,22.2,582.0,1,4008.0,2836.0,0.0,0.0,0.0,0.0,526.0,3594.0,1006.0,1370.0,593.0,581.0,0,0,0,0.0,0.0,0,0,105317.0,56090.0,0
2,25,110,2,26350,26440,2635001,2644001,2,2880.0,24571.0,34212.0,41676.0,0.0,95745.0,56333.0,1,1,100154.0,0,0.0,16.2,0.0,1,13416.0,5558.0,0.0,0.0,0.0,0.0,510.0,4744.0,2740.0,2923.0,1320.0,2376.0,0,0,0,0.0,0.0,1,0,114051.0,63565.0,0
1,20,910,1,26260,26350,2626003,2635002,4,2681.0,0.0,32779.0,42472.0,0.0,45173.0,27937.0,0,0,53265.0,1,0.0,16.4,0.0,1,5991.0,5363.0,0.0,0.0,0.0,0.0,946.0,13523.0,1067.0,5067.0,3161.0,994.0,0,0,0,0.0,0.0,1,0,45503.0,31743.0,0
2,45,910,2,26440,26410,2644002,2641002,3,3626.0,0.0,40512.0,52150.0,-1264.0,170161.0,116599.0,1,0,147213.0,0,0.0,1.5,453.0,2,1725.0,607.0,0.0,0.0,0.0,0.0,68.0,10990.0,971.0,6305.0,1288.0,113.0,0,0,0,0.0,0.0,0,0,156431.0,92934.0,1
2,35,110,5,26350,26320,2635001,2632002,4,2804.0,29030.0,32020.0,33081.0,2781.0,45569.0,18461.0,0,1,59279.0,0,0.0,0.0,672.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13109.0,3213.0,7810.0,1261.0,1077.0,0,0,0,0.0,0.0,0,0,50931.0,36395.0,2
2,25,110,4,26260,26410,2626001,2641002,2,1984.0,22270.0,23355.0,23468.0,0.0,41537.0,23423.0,0,1,44788.0,1,0.0,11.4,0.0,1,3554.0,2651.0,0.0,0.0,0.0,0.0,385.0,9079.0,2203.0,3652.0,789.0,1667.0,0,0,0,0.0,0.0,1,0,44276.0,22585.0,0
2,35,110,4,26320,26230,2632002,2623003,2,2632.0,0.0,29290.0,25866.0,0.0,197960.0,107968.0,1,1,240222.0,1,8.0,78.6,548.0,0,0.0,0.0,27567.0,20380.0,6195.0,2633.0,3438.0,4877.0,3045.0,2847.0,969.0,260.0,0,0,0,0.0,0.0,0,1,204683.0,133914.0,0
1,25,910,5,26230,26410,2623001,2641002,4,1441.0,11482.0,15646.0,15254.0,2985.0,288879.0,153084.0,0,0,377244.0,0,0.0,0.0,573.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1885.0,2135.0,729.0,209.0,109.0,1,1,25,1084.0,335.0,0,0,325486.0,204154.0,1
2,30,420,2,26410,26260,2641001,2626003,3,2013.0,0.0,25026.0,21639.0,-2679.0,66148.0,55150.0,1,1,47152.0,0,0.0,0.0,789.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10532.0,3749.0,5375.0,1347.0,1198.0,0,0,0,0.0,0.0,0,0,51269.0,35950.0,1
1,50,110,4,26320,26230,2632001,2623002,1,3213.0,0.0,34988.0,33748.0,4316.0,180208.0,-99999999.0,1,1,280234.0,1,0.0,18.6,467.0,1,10170.0,6502.0,0.0,0.0,0.0,0.0,688.0,10383.0,4517.0,6093.0,3129.0,635.0,0,0,0,0.0,0.0,0,0,315546.0,171147.0,2
2,35,910,2,26230,26260,2623001,2626002,3,2639.0,0.0,28938.0,28040.0,0.0,159200.0,76898.0,1,0,215085.0,0,21.0,183.1,433.0,1,9473.0,8330.0,77945.0,44654.0,0.0,0.0,6849.0,11529.0,666.0,4130.0,2266.0,900.0,0,0,0,0.0,0.0,0,0,228793.0,125727.0,0
1,40,910,5,26410,26350,2641002,2635001,1,3400.0,0.0,39907.0,-1.0,0.0,93441.0,81154.0,1,1,80643.0,0,28.0,57.2,0.0,1,0.0,0.0,24591.0,22830.0,0.0,0.0,2091.0,13626.0,2391.0,7779.0,2041.0,1275.0,0,0,0,0.0,0.0,1,0,88885.0,55391.0,0
2,35,910,3,26410,26230,2641001,2623003,4,1522.0,0.0,16217.0,13043.0,0.0,220024.0,134351.0,0,1,196754.0,0,0.0,0.0,570.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5990.0,1964.0,2116.0,633.0,908.0,0,0,0,0.0,0.0,0,0,176422.0,114861.0,0
2,75,110,5,26230,26260,2623003,2626002,1,2642.0,0.0,27921.0,34889.0,-102.0,89485.0,44852.0,0,0,86399.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7515.0,3829.0,2468.0,1361.0,63.0,0,0,0,0.0,0.0,1,0,88953.0,48090.0,1
2,25,420,4,26260,26410,2626003,2641001,4,2491.0,21177.0,26474.0,24622.0,0.0,134662.0,109502.0,1,0,146566.0,0,0.0,5.0,630.0,1,2207.0,1322.0,0.0,0.0,0.0,0.0,208.0,9442.0,3668.0,4151.0,1218.0,1396.0,0,0,0,0.0,0.0,0,0,146463.0,106417.0,0
2,25,910,4,26320,26230,2632001,2623003,4,3421.0,26726.0,36764.0,36663.0,-2186.0,46525.0,35426.0,0,1,70325.0,2,0.0,6.5,637.0,3,2749.0,2383.0,0.0,0.0,0.0,0.0,452.0,15498.0,3942.0,6003.0,956.0,1443.0,0,0,0,0.0,0.0,0,0,77848.0,55332.0,2
1,20,420,5,26440,26260,2644002,2626003,1,3237.0,37820.0,36767.0,32048.0,-1575.0,47733.0,43910.0,0,0,39050.0,0,0.0,17.6,0.0,1,8197.0,6486.0,0.0,0.0,0.0,0.0,738.0,12805.0,4784.0,4605.0,3972.0,1508.0,0,0,0,0.0,0.0,1,0,39704.0,21099.0,1
2,35,910,4,26260,26440,2626002,2644001,3,3217.0,0.0,39114.0,38090.0,0.0,199073.0,175739.0,1,1,204861.0,0,0.0,8.4,433.0,3,0.0,0.0,0.0,0.0,3856.0,3273.0,595.0,16668.0,1596.0,6724.0,3677.0,2213.0,0,0,0,0.0,0.0,0,0,230423.0,164150.0,0
2,35,110,2,26440,26230,2644001,2623003,1,3802.0,0.0,42521.0,41231.0,0.0,137410.0,107437.0,1,1,129429.0,0,18.0,53.5,694.0,2,0.0,0.0,26649.0,22754.0,0.0,0.0,4212.0,7845.0,3020.0,4745.0,2347.0,2182.0,0,0,0,0.0,0.0,0,0,145320.0,105883.0,0
2,40,910,3,26410,26230,2641002,2623002,2,2561.0,30689.0,29080.0,29374.0,0.0,90629.0,44276.0,1,1,80030.0,0,7.0,24.1,602.0,2,4080.0,1590.0,10512.0,5423.0,0.0,0.0,1093.0,11080.0,897.0,7138.0,3016.0,1574.0,1,0,43,2601.0,582.0,0,0,76272.0,42798.0,0
2,25,910,3,26320,26230,2632002,2623001,2,3668.0,0.0,42917.0,34639.0,0.0,310118.0,206461.0,0,1,441876.0,0,0.0,2.9,783.0,3,0.0,0.0,0.0,0.0,3002.0,1227.0,201.0,12249.0,2477.0,8266.0,666.0,1027.0,2,2,36,2331.0,818.0,0,0,474449.0,339778.0,0
2,18,220,1,26320,26260,2632001,2626002,3,2121.0,19461.0,23552.0,22858.0,0.0,308165.0,143400.0,0,0,344041.0,1,0.0,13.6,566.0,0,4528.0,3195.0,0.0,0.0,0.0,0.0,562.0,2856.0,2848.0,1943.0,703.0,1606.0,0,0,0,0.0,0.0,0,0,383749.0,245895.0,0
1,35,110,3,26410,26410,2641001,2641003,4,2097.0,24457.0,23833.0,17981.0,0.0,128476.0,90212.0,1,1,95704.0,1,40.0,159.8,673.0,0,0.0,0.0,71297.0,38088.0,0.0,0.0,4748.0,7767.0,1054.0,4283.0,715.0,1174.0,0,0,0,0.0,0.0,0,0,91845.0,64347.0,0
2,75,910,3,26350,26200,2635001,2620001,2,3289.0,27193.0,37076.0,34623.0,-6923.0,41217.0,37270.0,1,1,53498.0,0,63.0,91.3,0.0,1,0.0,0.0,44479.0,33841.0,0.0,0.0,6713.0,11848.0,4320.0,6841.0,852.0,1365.0,1,1,34,673.0,576.0,1,0,57904.0,37674.0,1
2,25,220,2,26350,26350,2635001,2635002,2,1822.0,0.0,20377.0,19721.0,-714.0,92322.0,37123.0,1,0,95141.0,0,75.0,350.3,0.0,1,0.0,0.0,75840.0,71374.0,0.0,0.0,8980.0,9105.0,2443.0,3843.0,535.0,818.0,0,0,0,0.0,0.0,1,0,80885.0,46470.0,1
2,25,910,1,26440,26320,2644001,2632001,1,3172.0,0.0,35770.0,35479.0,0.0,59901.0,52821.0,0,1,54963.0,0,0.0,6.5,0.0,1,4116.0,2332.0,0.0,0.0,0.0,0.0,210.0,11712.0,4807.0,7707.0,3553.0,701.0,0,0,0,0.0,0.0,1,0,53758.0,36183.0,0
1,25,110,3,26440,26410,2644001,2641001,4,2866.0,0.0,30157.0,27055.0,0.0,-99999999.0,72563.0,1,1,1.0,0,0.0,0.0,684.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4395.0,4395.0,1931.0,972.0,1902.0,0,0,0,0.0,0.0,0,0,1.0,1.0,0
2,30,420,3,26320,26710,2632001,2671002,2,3497.0,38556.0,42917.0,45572.0,0.0,56287.0,27197.0,0,1,81544.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19180.0,5027.0,11392.0,5405.0,955.0,0,0,0,0.0,0.0,1,0,78232.0,53221.0,0
2,25,420,1,26350,26320,2635002,2632002,2,2761.0,0.0,34387.0,32692.0,0.0,48159.0,41933.0,0,0,46282.0,0,0.0,4.4,613.0,3,3897.0,1520.0,0.0,0.0,0.0,0.0,127.0,7228.0,3707.0,4437.0,1746.0,1594.0,0,0,0,0.0,0.0,0,0,51608.0,35611.0,0
1,30,420,4,26350,26410,2635001,2641003,1,2836.0,0.0,34670.0,33620.0,4796.0,25398.0,17659.0,0,1,27353.0,0,0.0,7.4,702.0,1,3907.0,2558.0,0.0,0.0,0.0,0.0,260.0,11928.0,4226.0,8244.0,1093.0,2590.0,0,0,0,0.0,0.0,0,0,28603.0,18923.0,1
1,35,420,1,26410,26110,2641003,2611002,2,3131.0,33224.0,32911.0,30507.0,-2068.0,109136.0,70555.0,1,1,91669.0,0,10.0,28.2,0.0,0,0.0,0.0,17983.0,9291.0,0.0,0.0,1155.0,10182.0,1468.0,3185.0,2366.0,1452.0,0,0,0,0.0,0.0,1,0,92666.0,-99999999.0,1
1,30,910,1,26320,26410,2632002,2641001,3,2369.0,0.0,28432.0,26265.0,-135.0,24853.0,16772.0,0,0,27037.0,1,0.0,3.8,701.0,0,0.0,0.0,0.0,0.0,1242.0,1094.0,115.0,6380.0,3299.0,2555.0,533.0,87.0,0,0,0,0.0,0.0,0,0,30002.0,17495.0,1
2,30,420,3,26350,26350,2635002,2635002,4,2341.0,18493.0,27264.0,25006.0,4715.0,81459.0,39186.0,0,1,110148.0,0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6607.0,3769.0,3228.0,434.0,2112.0,0,0,0,0.0,0.0,1,0,118402.0,86126.0,1
1,20,910,2,26350,26440,2635002,2644002,2,3108.0,26051.0,33219.0,31812.0,0.0,149737.0,69179.0,0,0,197120.0,2,0.0,3.6,0.0,3,2449.0,1206.0,0.0,0.0,0.0,0.0,120.0,10914.0,2622.0,6756.0,1660.0,1500.0,0,0,0,0.0,0.0,1,0,181951.0,128004.0,0
2,55,420,5,26230,26440,2623001,2644001,3,2781.0,0.0,34389.0,27178.0,1286.0,64007.0,48892.0,0,0,78286.0,0,0.0,6.3,494.0,2,5647.0,2167.0,0.0,0.0,0.0,0.0,336.0,13931.0,786.0,8222.0,1114.0,501.0,0,0,0,0.0,0.0,0,0,85376.0,60515.0,1
2,30,420,1,26440,26350,2644001,2635002,4,2535.0,25925.0,30553.0,27943.0,-1245.0,51488.0,45527.0,0,0,50086.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13178.0,1949.0,4351.0,3448.0,1215.0,0,0,0,0.0,0.0,1,0,50290.0,26293.0,1
1,25,220,2,26230,26350,2623001,2635001,2,2746.0,0.0,29631.0,20854.0,2036.0,94778.0,74112.0,1,1,96237.0,1,0.0,9.2,638.0,1,3798.0,2714.0,0.0,0.0,0.0,0.0,472.0,13241.0,965.0,8512.0,3067.0,875.0,0,0,0,0.0,0.0,0,0,87729.0,52780.0,2
1,20,110,4,26260,26230,2626002,2623002,2,3836.0,0.0,47674.0,45952.0,0.0,60044.0,51784.0,0,0,68187.0,1,0.0,5.0,0.0,3,2708.0,2368.0,0.0,0.0,0.0,0.0,429.0,6715.0,4836.0,3122.0,1711.0,1600.0,0,0,0,0.0,0.0,1,0,77936.0,45871.0,0
1,35,220,2,26230,26350,2623002,2635002,1,2512.0,27557.0,27010.0,23010.0,0.0,110348.0,95410.0,0,1,115954.0,1,0.0,8.7,730.0,3,5641.0,2344.0,0.0,0.0,0.0,0.0,391.0,4477.0,3471.0,2875.0,1443.0,1046.0,0,0,0,0.0,0.0,0,0,112479.0,80868.0,0
2,50,910,5,26410,26350,2641003,2635001,4,2493.0,24740.0,28444.0,30881.0,-1011.0,53120.0,22184.0,0,1,46313.0,0,0.0,0.0,729.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4891.0,907.0,3196.0,778.0,1883.0,0,0,0,0.0,0.0,0,0,39862.0,23233.0,1
1,20,420,4,26260,26410,2626002,2641001,1,1690.0,0.0,18282.0,14742.0,-2164.0,92717.0,76401.0,0,0,89966.0,0,0.0,13.7,491.0,1,6555.0,2513.0,0.0,0.0,0.0,0.0,375.0,8056.0,1382.0,5375.0,1753.0,352.0,0,0,0,0.0,0.0,0,0,101332.0,74488.0,1
1,25,910,5,26440,26440,2644001,2644002,1,2772.0,0.0,29939.0,32389.0,0.0,80189.0,66128.0,0,1,-99999999.0,2,0.0,5.9,716.0,3,0.0,0.0,0.0,0.0,2033.0,1770.0,155.0,4015.0,3217.0,2466.0,651.0,1582.0,0,0,0,0.0,0.0,0,0,1.0,1.0,0
1,25,910,5,26260,26260,2626003,2626001,1,3227.0,0.0,40130.0,36536.0,-3680.0,98036.0,58085.0,0,1,102169.0,0,0.0,3.7,828.0,2,0.0,0.0,0.0,0.0,1857.0,1494.0,289.0,13803.0,5537.0,8300.0,1271.0,2309.0,3,1,21,2147.0,1744.0,0,0,100816.0,72302.0,1
1,35,420,1,26260,26410,2626003,2641001,3,3344.0,26652.0,38938.0,39318.0,0.0,263311.0,164679.0,1,0,293510.0,1,0.0,6.3,462.0,1,6903.0,2436.0,0.0,0.0,0.0,0.0,197.0,16946.0,1894.0,8544.0,5125.0,3053.0,0,0,0,0.0,0.0,0,0,295092.0,155398.0,0
2,55,220,3,26320,26410,2632002,2641001,2,2870.0,0.0,31623.0,28806.0,0.0,111289.0,90146.0,1,1,129431.0,1,21.0,96.5,609.0,1,5286.0,3945.0,34544.0,26575.0,0.0,0.0,3253.0,9530.0,2803.0,4980.0,2113.0,794.0,0,0,0,0.0,0.0,0,0,139542.0,103815.0,0
2,30,910,4,26350,26710,2635001,2671003,3,3421.0,0.0,41233.0,41449.0,-5147.0,133608.0,125940.0,0,1,141322.0,0,0.0,16.7,696.0,1,8887.0,6895.0,0.0,0.0,0.0,0.0,620.0,4236.0,917.0,2146.0,1004.0,661.0,0,0,0,0.0,0.0,0,0,123441.0,73134.0,2
1,30,110,1,26410,26410,2641002,2641001,3,3275.0,27750.0,40120.0,44010.0,0.0,67855.0,64008.0,0,1,55313.0,1,0.0,17.8,0.0,1,14616.0,7143.0,0.0,0.0,0.0,0.0,1424.0,4934.0,2837.0,2498.0,629.0,3001.0,0,0,0,0.0,0.0,1,0,59439.0,30912.0,0
1,40,910,3,26320,26410,2632001,2641001,1,3523.0,0.0,43457.0,43929.0,0.0,112866.0,74561.0,0,1,147394.0,0,0.0,0.0,837.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15142.0,2819.0,5819.0,4519.0,3306.0,0,0,0,0.0,0.0,0,0,156301.0,102515.0,0
1,40,910,4,26230,26230,2623003,2623002,2,3440.0,0.0,42539.0,33728.0,0.0,83710.0,69835.0,0,0,114840.0,0,0.0,0.0,745.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10185.0,1831.0,4392.0,2066.0,2648.0,0,0,0,0.0,0.0,0,0,108132.0,77438.0,0
2,25,420,4,26410,26230,2641001,2623001,1,3820.0,0.0,47029.0,42750.0,0.0,100488.0,65954.0,0,0,78432.0,1,0.0,0.0,703.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13027.0,1816.0,4832.0,923.0,1457.0,0,0,0,0.0,0.0,0,0,85333.0,58197.0,0
1,25,220,3,26260,26260,2626003,2626002,1,2690.0,31008.0,31682.0,37867.0,0.0,145709.0,127682.0,1,1,137773.0,1,0.0,3.9,756.0,4,0.0,0.0,0.0,0.0,1545.0,1231.0,229.0,3669.0,2154.0,2154.0,536.0,2463.0,0,0,0,0.0,0.0,0,0,124622.0,84285.0,0
2,30,910,5,26440,26320,2644001,2632002,2,1937.0,0.0,21665.0,18140.0,4229.0,73120.0,55377.0,0,1,73380.0,0,0.0,16.7,0.0,0,7685.0,3625.0,0.0,0.0,0.0,0.0,464.0,8978.0,606.0,4203.0,1673.0,1011.0,0,0,0,0.0,0.0,1,0,83648.0,61506.0,1
2,40,420,4,26440,26200,2644001,2620002,2,3231.0,23641.0,39907.0,44526.0,-39.0,77744.0,71148.0,0,1,72328.0,0,0.0,6.0,655.0,2,0.0,0.0,0.0,0.0,2981.0,2381.0,460.0,16637.0,5500.0,6610.0,2499.0,697.0,0,0,0,0.0,0.0,0,0,81736.0,60633.0,1
